"平成28年度公共事業の用地取得に係る業務委託の随意契約結果","","","",""
"平成28年4月1日から平成28年12月8日までの分"

"契約機関","委託業務名","委託業務の内容","委託先","委託料の額（円）","契約日","随意契約の理由"
"海草振興局建設部","公有地取得あっせん等業務委託","街路事業南港山東線・街路事業西脇山口線・県道粉河加太線・県道和歌山橋本線・和歌山南インタ―チェンジ事業・岩出海南線他に係る用地取得のあっせん及びこれに付随する業務","和歌山県土地開発公社","5.340276E7","42461.0","用地取得業務について、「公有地の拡大の推進に関する法律」に基づき公有地取得あっせんが認められた和歌山県土地開発公社に委託し、用地取得を効率的に進める必要があるため。",""
"海草振興局建設部海南工事事務所","公有地取得あっせん等業務委託","国道42号有田海南・国道424号・岩出海南線・日方大野中藤白線・野上清水線道路改良工事に伴う用地補償説明業務等","和歌山県土地開発公社","3.327372E7","42461.0","用地取得業務について、「公有地の拡大の推進に関する法律」に基づき公有地取得あっせんが認められた和歌山県土地開発公社に委託し、用地取得を効率的に進める必要があるため。",""
"伊都振興局建設部","公共用地取得事務委託","県道那賀かつらぎ線道路改良工事に伴う用地補償説明業務等","かつらぎ町","2068381.0","42461.0","当事業において、地域に密接な関係を有するかつらぎ町に用地補償説明業務を委託し、用地取得を円滑に進める必要があるため。",""
"有田振興局建設部　","公共用地取得事務委託","国道４２４号道路改良事業等に係る用地取得業務","有田川町","1944000.0","42461.0","当事業において、地域に密接な関係を有する有田川町に用地補償説明事務を委託し、用地取得を円滑に進める必要があるため。",""
"用地対策課","登記事務委託","公共事業に伴う不動産の表示登記に係る登記嘱託書の作成並びにこれらに係る登記完了までの手続（地図訂正を含む）","公益社団法人和歌山県公共嘱託登記土地家屋調査士協会","単価契約","42461.0","県公共嘱託登記土地家屋調査士協会は、官公庁の登記業務を受託するために法により設立を認められた団体であり、県内では他に業務を受託できる団体がないため。",""
"西牟婁振興局建設部","不動産鑑定業務","温川田辺線小規模道路改良工事に係る意見書","有限会社
アトラス鑑定","単価契約","42461.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","温川田辺線小規模道路改良工事に係る意見書","有限会社
アトラス鑑定","単価契約","42461.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","温川田辺線小規模道路改良工事に係る意見書","有限会社
アトラス鑑定","単価契約","42461.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","上万呂北新町線交付金交通安全工事に係る意見書","有限会社
紀州不動産鑑定事務所","単価契約","42461.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","42464.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
明和不動産鑑定所","単価契約","42464.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","42464.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"海草振興局建設部","不動産鑑定業務","和歌山橋本線道路改良工事に係る意見書","株式会社
阪和不動産鑑定所","単価契約","42464.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
"西牟婁振興局建設部","不動産鑑定業務","温川田辺線小規模道路改良工事に係る不動産鑑定業務","有限会社
紀州不動産鑑定事務所","単価契約","42465.0","報酬額が一律で競争入札になじまず、また、左記鑑定所は当該地域全般にかかる鑑定業務をしており経験が豊富であるため。",""
